TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;374044606.73;;;SCP;DOL X PRE
CLASSES - FIF;11.769.285/0001-46;SPHERE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;8820491.42;;;SDE;DI1 X REU
CLASSES - FIF;11.886.391/0001-00;CLASSE A DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;632109.42;;;SDP;DI1 X PRE
CLASSES - FIF;13.107.003/0001-70;PASCAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO IE - RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;225217583.77;;;Outros;999 X 999
CLASSES - FIF;14.239.657/0001-10;CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA CICLICO I FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;619992.57;;;SDP;DI1 X PRE
CLASSES - FIF;15.037.582/0001-58;BB PREV PÚBLICO RF FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;143477012.00;;;SDM;DI1 X IGM
CLASSES - FIF;15.037.582/0001-58;BB PREV PÚBLICO RF FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;75583592.00;;;SFD;IPC X DI1
CLASSES - FIF;15.740.377/0001-54;SANTANDER DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO - FIF;2025-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3873923726.92;;;SDP;DI1 X PRE
CLASSES - FIF;15.740.377/0001-54;SANTANDER DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO - FIF;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;377885151.21;;;SDP;DI1 X PRE
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;8570030.00;;;Outros;999 X 999
CLASSES - FIF;22.681.938/0001-57;LC GLOBAL MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO IE RESP LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;22274.72;;;Outros;999 X 999
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1257464.13;;;Outros;999 X 999
CLASSES - FIF;28.692.461/0001-91;VINLAND MACRO PLUS MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;2025-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;14383.46;;;SDP;DI1 X PRE
